61
36,28
31,49
32,40
50,5
33,5
23,12
4,51
39,14
59,46
51,20
11,15
6,15
11,37
4,59
5,38
4,12
6,11
16,25
60,31
14,6
59,50
56,46
4,49
2,45
33,26
7,14
53,37
36,11
0,7
29,35
19,7
3,1
10,50
15,48
34,45
52,2
41,21
35,36
45,36
25,24
42,35
40,31
0,19
24,21
35,10
43,4
34,6
28,4
15,20
57,46
13,58
27,52
40,52
29,26
52,27
44,32
39,11
6,47
2,11
7,19
41,37
31,55
38,37
17,54
34,32
11,41
58,36
41,1
30,3
16,4
41,28
27,13
34,45
35,10
54,19
55,4
21,22
7,45
38,25
2,6
22,54,[42, 3, 4, 20, 2, 26, 19, 3, 9, 57, 38, 35, 48, 49, 25, 6, 20, 28, 49, 59, 18, 33, 55, 56, 36, 0, 8, 25, 53, 18, 56, 26, 56, 2, 19, 32, 2, 5, 23, 27, 60, 37, 46, 49, 26, 38, 44]
